module,trial,timestamp,x,y
faces,33,443,769.92,181.44
faces,33,477,737.28,169.56
faces,33,510,721.92,164.16
faces,33,543,812.16,174.96
faces,33,577,501.12,103.68
faces,33,611,468.48,106.92
faces,33,644,456.96,126.36
faces,33,677,460.8,132.84
faces,33,727,456.96,138.24
faces,33,761,455.04,139.32
faces,33,811,455.04,142.56
faces,33,845,462.72,145.8
faces,33,877,464.64,143.64
faces,33,911,466.56,147.96
faces,33,944,351.36,348.84
faces,33,978,380.16,379.08
faces,33,1045,597.12,452.52
faces,33,1078,481.92,277.56
faces,33,1127,468.48,241.92
faces,33,1161,485.76,265.68
faces,33,1213,480,245.16
faces,33,1278,451.2,241.92
faces,33,1311,650.88,454.68
faces,33,1345,637.44,453.6
faces,33,1379,620.16,504.36
faces,33,1412,572.16,848.88
faces,33,1444,508.8,864
faces,33,1495,416.64,845.64
faces,33,1528,374.4,827.28
faces,33,1578,393.6,806.76
faces,33,1612,418.56,799.2
faces,33,1645,456.96,780.84
faces,33,1712,428.16,772.2
faces,33,1745,564.48,799.2
faces,33,1779,556.8,740.88
faces,33,1812,816,524.88
faces,33,1845,825.6,444.96
faces,33,1895,906.24,390.96
faces,33,1929,1004.16,411.48
faces,33,1980,1031.04,410.4
faces,33,2012,1056,407.16
faces,33,2045,1073.28,405
faces,33,2079,1100.16,409.32
faces,33,2112,1105.92,413.64
faces,33,2145,1109.76,421.2
faces,33,2179,1107.84,439.56
faces,33,2212,1036.8,713.88
faces,33,2246,1013.76,749.52
faces,33,2295,1009.92,736.56
faces,33,2346,923.52,677.16
faces,33,2379,913.92,654.48
faces,33,2412,919.68,644.76
faces,33,2446,927.36,648
faces,33,2479,938.88,649.08
faces,33,2513,946.56,652.32
faces,33,2546,954.24,655.56
faces,33,2580,958.08,658.8
faces,33,2613,1269.12,795.96
faces,33,2646,1096.32,712.8
faces,33,2695,764.16,536.76
faces,33,2748,743.04,538.92
faces,33,2813,673.92,543.24
faces,33,2846,554.88,536.76
faces,33,2880,545.28,513
faces,33,2913,531.84,477.36
faces,33,2947,543.36,470.88
faces,33,3014,528,462.24
faces,33,3063,552.96,478.44
faces,33,3097,583.68,490.32
faces,33,3148,597.12,495.72
faces,33,3179,608.64,502.2
faces,33,3213,620.16,505.44
faces,33,3246,639.36,529.2
faces,33,3314,643.2,500.04
faces,33,3347,654.72,490.32
faces,33,3381,679.68,487.08
faces,33,3414,627.84,474.12
faces,33,3463,618.24,516.24
faces,33,3515,620.16,542.16
faces,33,3547,620.16,835.92
faces,33,3580,614.4,838.08
faces,33,3613,662.4,790.56
faces,33,3647,635.52,790.56
faces,33,3714,639.36,801.36
faces,33,3747,668.16,821.88
faces,33,3781,645.12,832.68
faces,33,3815,641.28,810
faces,33,3864,650.88,793.8
faces,33,3914,627.84,801.36
faces,33,3947,633.6,813.24
faces,33,3980,602.88,813.24
faces,33,4015,574.08,778.68
faces,33,4047,558.72,767.88
faces,33,4081,499.2,738.72
faces,33,4114,493.44,729
faces,33,4148,497.28,710.64
faces,33,4181,551.04,745.2
faces,33,4231,577.92,774.36
faces,33,4264,572.16,749.52
faces,33,4314,576,746.28
faces,33,4381,570.24,744.12
faces,33,4414,570.24,748.44
faces,33,4449,577.92,743.04
faces,33,4515,539.52,735.48
faces,33,4548,539.52,757.08
faces,33,4582,535.68,764.64
faces,33,4631,543.36,770.04
faces,34,0,768,710.64
faces,34,0,733.44,712.8
faces,34,30,756.48,732.24
faces,34,80,754.56,734.4
faces,34,113,754.56,734.4
faces,34,146,752.64,732.24
faces,34,180,748.8,726.84
faces,34,213,746.88,721.44
faces,34,248,766.08,762.48
faces,34,313,744.96,735.48
faces,34,347,727.68,735.48
faces,34,380,708.48,734.4
faces,34,430,731.52,722.52
faces,34,513,744.96,684.72
faces,34,547,775.68,508.68
faces,34,580,595.2,409.32
faces,34,614,691.2,440.64
faces,34,680,689.28,457.92
faces,34,714,599.04,444.96
faces,34,747,424.32,442.8
faces,34,799,405.12,429.84
faces,34,849,393.6,424.44
faces,34,914,401.28,419.04
faces,34,948,426.24,420.12
faces,34,981,433.92,401.76
faces,34,1047,453.12,385.56
faces,34,1081,462.72,373.68
faces,34,1115,464.64,360.72
faces,34,1148,435.84,315.36
faces,34,1197,441.6,270
faces,34,1281,449.28,258.12
faces,34,1314,430.08,264.6
faces,34,1348,480,278.64
faces,34,1414,1084.8,381.24
faces,34,1447,1121.28,386.64
faces,34,1481,1136.64,388.8
faces,34,1515,1142.4,388.8
faces,34,1548,1148.16,389.88
faces,34,1598,1152,393.12
faces,34,1648,725.76,624.24
faces,34,1681,967.68,455.76
faces,34,1715,913.92,451.44
faces,34,1782,1006.08,423.36
faces,34,1815,1138.56,423.36
faces,34,1848,856.32,723.6
faces,34,1882,865.92,831.6
faces,34,1948,846.72,909.36
faces,34,2015,904.32,841.32
faces,34,2048,885.12,867.24
faces,34,2081,879.36,866.16
faces,34,2115,879.36,856.44
faces,34,2148,875.52,852.12
faces,34,2183,871.68,845.64
faces,34,2216,852.48,844.56
faces,34,2249,823.68,844.56
faces,34,2282,648.96,898.56
faces,34,2316,416.64,792.72
faces,34,2365,485.76,810
faces,34,2415,466.56,786.24
faces,34,2449,462.72,778.68
faces,34,2515,460.8,768.96
faces,34,2549,470.4,774.36
faces,34,2582,478.08,766.8
faces,34,2649,624,416.88
faces,34,2683,664.32,393.12
