ts,x,y
20242,1812,811
20262,1818,817
20275,1816,829
20303,1811,844
20316,1813,845
20338,1812,840
20360,1808,838
20381,1804,838
20399,1802,839
20417,1804,842
20444,1800,844
20458,1799,843
20476,1801,841
20497,1800,841
20522,1803,840
20544,1803,833
20555,1800,836
20583,1797,840
20597,1801,839
20619,1808,838
20640,1806,839
20658,1799,837
